isocode,country,ln_maddison_pcgdp2000,gdp00,gpd01,gdp02,gdp03,gdp04,gdp05,gdp06,gdp07,gdp08,gdp09,gdp10,gdp11,gdp12,gdp13,gdp14,gdp15,gdp16,gdp17,gdp18,gdp19,gdp20,gdp21,gdp22,average_gdp_01_22,ln_export_area,ln_export_pop,colony0,colony1,colony2,colony3,colony4,colony5,colony6,colony7,abs_latitude,longitude,rain_min,humid_max,low_temp,ln_coastline_area,island_dum,islam,legor_fr,legor_uk,region_n,region_s,region_w,region_e,region_c,ln_avg_gold_pop,ln_avg_oil_pop,ln_avg_all_diamonds_pop,ln_pop_dens_1400,atlantic_distance_minimum,indian_distance_minimum,saharan_distance_minimum,red_sea_distance_minimum,ethnic_fractionalization,state_dev,land_area,atlantic_distance_minimum_region_n_interaction,atlantic_distance_minimum_region_s_interaction,atlantic_distance_minimum_region_w_interaction,atlantic_distance_minimum_region_e_interaction,atlantic_distance_minimum_region_c_interaction,indian_distance_minimum_region_n_interaction,indian_distance_minimum_region_s_interaction,indian_distance_minimum_region_w_interaction,indian_distance_minimum_region_e_interaction,indian_distance_minimum_region_c_interaction,saharan_distance_minimum_region_n_interaction,saharan_distance_minimum_region_s_interaction,saharan_distance_minimum_region_w_interaction,saharan_distance_minimum_region_e_interaction,saharan_distance_minimum_region_c_interaction,red_sea_distance_minimum_region_n_interaction,red_sea_distance_minimum_region_s_interaction,red_sea_distance_minimum_region_w_interaction,red_sea_distance_minimum_region_e_interaction,red_sea_distance_minimum_region_c_interaction
NER,Niger,6.220590115,5.963778612,5.999374738,6.012666582,5.999095853,5.967235437,6.002109114,6.023583081,6.018114531,6.055860122,6.038284316,6.083277443,6.069114153,6.131296567,6.144901421,6.171398159,6.176098639,6.193249238,6.203821116,6.23557772,6.255624589,6.253244175,6.229911058,6.301543119,6.121761716,2.752291918,9.695232391,0,0,1,0,0,0,0,0,13,9.373100281,0,68,8,-4.60517025,0,90,1,0,0,0,1,0,0,-5.203684807,-9.2103405,-6.907755375,-0.586962044,5.158515453,9.223114014,1.768215299,2.95387578,0.651799977,0.582000017,1.27,0,0,5.158515453,0,0,0,0,9.223114014,0,0,0,0,1.768215299,0,0,0,0,2.95387578,0,0
NGA,Nigeria,7.052721024,7.287927192,7.318906583,7.434697762,7.478668291,7.540187014,7.575647402,7.607517537,7.644251385,7.68250955,7.732538584,7.782108205,7.806186065,7.820123573,7.857731122,7.892636405,7.893405725,7.852034555,7.834787953,7.828866563,7.826228523,7.783716984,7.795475859,7.803675118,7.729528445,7.690815926,12.08836555,0,1,0,0,0,0,0,0,9,8.101409912,25,80,16,-0.079952501,0,45,0,1,0,0,1,0,0,-11.85754967,0.134037822,-6.907755375,1.821478844,5.224331379,9.150605202,2.641684294,3.314152002,0.850499988,0.477999985,0.924,0,0,5.224331379,0,0,0,0,9.150605202,0,0,0,0,2.641684294,0,0,0,0,3.314152002,0,0
RWA,Rwanda,6.721425533,5.822044048,5.889528924,5.995565039,5.994245776,6.040287386,6.103609111,6.165219889,6.211842671,6.290838391,6.32504094,6.369751209,6.42067184,6.478956844,6.501282435,6.53735181,6.59835571,6.631918725,6.645667237,6.703230042,6.769731986,6.711416534,6.790939229,6.846268172,6.44934138,-2.302585125,3.912023067,0,0,0,0,1,0,0,0,2,29.91773987,7,83,12,-4.60517025,0,9,1,0,0,0,0,1,0,-3.50352478,-9.2103405,-6.907755375,2.945035934,10.7538023,2.622740507,3.567813158,2.101731777,0.323799998,0.981999993,0.0263,0,0,0,10.7538023,0,0,0,0,2.622740507,0,0,0,0,3.567813158,0,0,0,0,2.101731777,0
SDN,Sudan,6.898714542,7.552961886,7.587697863,7.618962272,7.65331005,7.676316986,7.702461606,7.7350469,7.75883935,7.764777122,7.705689959,7.713719845,7.775425949,7.706478589,7.702483883,7.720298885,7.708145443,7.711128694,7.685650015,7.626559974,7.575600802,7.511059819,7.465187393,7.429301454,7.664781124,5.841245174,11.95632076,0,1,0,0,0,0,0,0,12,30.04158974,0,41,5,-1.079278469,0,73,0,1,0,0,0,1,0,-3.181087255,-4.488462448,-6.907755375,0.40847522,15.25287437,3.527527809,1.827122688,0.98308295,0.714699984,0.575999975,2.51,0,0,0,15.25287437,0,0,0,0,3.527527809,0,0,0,0,1.827122688,0,0,0,0,0.98308295,0
SEN,Senegal,7.267525196,6.981834676,7.000239124,6.976776037,7.006607258,7.026991048,7.043777748,7.040794637,7.042345456,7.052332506,7.05271418,7.058953824,7.044986161,7.056965953,7.053685229,7.086875306,7.121354548,7.155822535,7.200102454,7.233196955,7.251324289,7.237811948,7.274705395,7.289682703,7.109595527,7.561687469,12.91681671,0,0,1,0,0,0,0,0,14,-14.46586037,0,74,12,0.996647358,0,91,1,0,0,0,1,0,0,-13.81551075,-9.2103405,-6.907755375,0.863899708,3.897720814,10.79067802,3.034837961,5.518318653,0.693899989,0.694000006,0.196,0,0,3.897720814,0,0,0,0,10.79067802,0,0,0,0,3.034837961,0,0,0,0,5.518318653,0,0
SLE,Sierra Leone,5.93753624,5.992960763,5.869549399,6.048177957,6.09859181,6.127844416,6.143709995,6.163645586,6.218363073,6.246074934,6.25029933,6.286703575,6.318136494,6.433352818,6.598991431,6.618643408,6.365255641,6.402595139,6.415234421,6.425726872,6.453602346,6.410730846,6.428540111,6.440790298,6.322919632,6.878125668,11.4790535,0,1,0,0,0,0,0,0,8,-11.79189014,3,82,19,1.723961353,0,39,0,1,0,0,1,0,0,-3.553395271,-9.2103405,-1.536141276,1.618100524,3.7054739,10.18760967,3.47350812,5.409635544,0.819100022,0.008,0.0717,0,0,3.7054739,0,0,0,0,10.18760967,0,0,0,0,3.47350812,0,0,0,0,5.409635544,0,0
SOM,Somalia,6.7604146,6.24091042,6.24091042,6.24091042,6.24091042,6.24091042,6.24091042,6.24091042,6.24091042,6.24091042,6.24091042,6.24091042,6.24091042,6.24091042,6.130582966,6.168228124,6.229463046,6.254017317,6.305575564,6.298945717,6.298240156,6.238126968,6.239205564,6.232551364,6.24091042,3.923764229,10.37326717,0,1,0,0,0,0,0,0,5,45.93132019,0,80,15,1.557979584,0,100,0,1,0,0,0,1,0,-13.81551075,-9.2103405,-6.907755375,0.060628325,12.05779457,2.358295918,3.090303659,0.695475698,0.811699986,0.034000002,0.638,0,0,0,12.05779457,0,0,0,0,2.358295918,0,0,0,0,3.090303659,0,0,0,0,0.695475698,0
STP,Sao Tome & Principe,7.111512184,6.881619648,6.881619648,6.890466777,6.944292215,6.953790298,6.992897204,7.053135076,7.064345979,7.10057888,7.109645334,7.10176353,7.100342197,7.108705904,7.138654623,7.167432551,7.164513904,7.197695058,7.22150352,7.248577599,7.253236569,7.260486637,7.25908115,7.240762611,7.118214642,-2.302585125,3.912023067,0,0,0,1,0,0,0,0,0.200000003,6.687779903,0,79,13,5.3831563,1,0,1,0,0,0,0,0,1,-13.81551075,-9.2103405,-6.907755375,-2.302585125,5.196696758,8.474004745,3.670200109,3.932184458,,,0.00096,0,0,0,0,5.196696758,0,0,0,0,8.474004745,0,0,0,0,3.670200109,0,0,0,0,3.932184458
SWZ,Swaziland,7.865571976,7.7879814,7.78795193,7.821822557,7.852317799,7.881357194,7.933886759,7.986639864,8.024234476,8.027024402,8.03796186,8.070610277,8.087890217,8.134971655,8.1666904,8.169155384,8.184042593,8.187067551,8.199400657,8.21510379,8.233785438,8.208669662,8.30038226,8.297283031,8.093058324,-2.302585125,3.912023067,0,1,0,0,0,0,0,0,26,31.49748993,20,81,-5,-4.60517025,0,0,0,1,0,1,0,0,0,-13.81551075,-9.2103405,-4.457983971,-0.617653549,8.290959358,2.622082949,6.294674873,4.422592163,0.058200002,1,0.0174,0,8.290959358,0,0,0,0,2.622082949,0,0,0,0,6.294674873,0,0,0,0,4.422592163,0,0,0
SYC,Seychelles,8.756839752,9.382940201,9.359091945,9.340573462,9.291213263,9.265997929,9.347595402,9.416686157,9.496621051,9.446620329,9.417588718,9.433731422,9.55086169,9.571684662,9.565675309,9.589954299,9.608746342,9.645158011,9.660403555,9.68725698,9.72599564,9.637024837,9.681819906,9.579248384,9.523630961,-2.302585125,3.912023067,0,0,1,0,0,0,0,0,4,55.37540817,69,78,19,6.983901978,1,0,1,0,0,0,0,1,0,-13.81551075,-9.2103405,-6.907755375,-2.302585125,11.45741272,1.742192268,4.635344028,2.252856255,0.202500001,,0.000455,0,0,0,11.45741272,0,0,0,0,1.742192268,0,0,0,0,4.635344028,0,0,0,0,2.252856255,0
TCD,Chad,6.049733639,5.938463339,6.015434139,6.062451701,6.160084374,6.405624008,6.525548399,6.496602283,6.494921637,6.490533017,6.496659226,6.589648287,6.555532147,6.605755685,6.625620211,6.656643849,6.652103519,6.556019556,6.492430929,6.482112608,6.481122533,6.433387752,6.389676391,6.380639651,6.470028427,6.02386713,12.87262154,0,0,1,0,0,0,0,0,12,18.66028976,0,72,8,-4.60517025,0,43,1,0,0,0,0,0,1,-13.81551075,-9.2103405,-6.907755375,-0.492775202,5.581031799,8.875547409,1.879363894,2.026491165,0.861999989,0.384000003,1.28,0,0,0,0,5.581031799,0,0,0,0,8.875547409,0,0,0,0,1.879363894,0,0,0,0,2.026491165
TGO,Togo,6.354370117,6.547422438,6.528558566,6.540001619,6.57897848,6.54288795,6.469138626,6.46721685,6.426321663,6.43736728,6.462556159,6.492736922,6.522787398,6.557879474,6.588891538,6.618384462,6.646576704,6.663000027,6.677616031,6.700063715,6.724002388,6.721482606,6.755998585,6.789169493,6.592641541,8.536834717,13.28512955,0,0,1,0,0,0,0,0,6,0.976339996,15,77,15,-0.014184646,0,12,1,0,0,0,1,0,0,-13.81551075,-9.2103405,-6.907755375,1.470734119,4.926229954,9.258234978,3.009105682,4.084905624,0.709900022,0.621999979,0.0568,0,0,4.926229954,0,0,0,0,9.258234978,0,0,0,0,3.009105682,0,0,0,0,4.084905624,0,0
TUN,Tunisia,8.420241356,7.947105342,7.974127312,7.977366699,8.013535817,8.064417435,8.089393206,8.131381716,8.18712728,8.219226091,8.239504775,8.258583811,8.225366885,8.253892939,8.266697785,8.285811597,8.284232825,8.284340781,8.295766687,8.311435088,8.317492189,8.215894496,8.250717796,8.267234991,8.206059644,-2.302585125,3.912023067,0,0,1,0,0,0,0,0,36,9.562950134,3,64,-1,1.94765079,0,99,1,0,1,0,0,0,0,-13.81551075,-0.37812528,-6.907755375,1.629374027,7.479858875,15.83293629,0.309733897,3.204610109,0.0394,0.980000019,0.164,7.479858875,0,0,0,0,15.83293629,0,0,0,0,0.309733897,0,0,0,0,3.204610109,0,0,0,0
TZA,Tanzania,6.261491776,6.313670883,6.345461164,6.387886919,6.425924069,6.471196626,6.515619488,6.550884219,6.588366174,6.616428797,6.642791135,6.6784,6.723844545,6.738825246,6.774352994,6.808469887,6.834969299,6.866779413,6.898338275,6.920176774,6.946505206,6.936257081,6.948657856,6.963812616,6.726767962,6.338510513,12.10193825,0,1,0,0,0,0,0,0,4,34.81658173,0,56,8,0.407227218,0,33,0,1,0,0,0,1,0,-3.161444426,-9.2103405,-4.186928272,0.459634215,10.59496689,2.558214664,4.056280136,2.186720133,0.735300004,0.66900003,0.945,0,0,0,10.59496689,0,0,0,0,2.558214664,0,0,0,0,4.056280136,0,0,0,0,2.186720133,0
UGA,Uganda,6.669497967,6.231980308,6.252070204,6.304711066,6.336231874,6.372502533,6.404841619,6.478110293,6.52954741,6.5837803,6.620425684,6.646118231,6.706811541,6.715531026,6.722004292,6.742116534,6.761781149,6.775133476,6.771002562,6.798121794,6.826570358,6.822328208,6.824968726,6.839841296,6.645481146,2.959842205,7.543645859,0,1,0,0,0,0,0,0,0.200000003,32.38632965,46,72,12,-4.60517025,0,7,0,1,0,0,0,1,0,-2.876623154,-9.2103405,-6.907755375,1.723666787,10.9956913,2.699154139,3.203551769,1.649948955,0.930199981,0.634000003,0.236,0,0,0,10.9956913,0,0,0,0,2.699154139,0,0,0,0,3.203551769,0,0,0,0,1.649948955,0
ZAF,South Africa,8.328209877,8.462877552,8.480662878,8.507897409,8.527719582,8.562905534,8.604879871,8.649768167,8.691846766,8.711927831,8.684534476,8.7025486,8.721108478,8.731496625,8.742431241,8.74070755,8.7330994,8.7300029,8.737643055,8.740835658,8.730480902,8.656763436,8.69273241,8.703245698,8.675161363,0.509511292,7.011268616,0,1,0,0,0,0,0,0,30,25.14830971,8,67,-2,0.858939469,0,1,0,1,0,1,0,0,0,3.084303617,-5.725028992,-1.201608062,-0.918677628,6.765942097,3.45720458,6.583775043,4.895070076,0.751699984,,1.22,0,6.765942097,0,0,0,0,3.45720458,0,0,0,0,6.583775043,0,0,0,0,4.895070076,0,0,0
ZAR,Democratic Republic of Congo,5.384495258,5.828855759,5.777435696,5.775917234,5.80075487,5.836154855,5.864543344,5.884514078,5.913072519,5.941472801,5.937680999,5.973879459,6.006848182,6.041752079,6.089074304,6.145097122,6.178078065,6.167128375,6.169292463,6.193144136,6.20419254,6.189153118,6.21708321,6.270589174,6.038652209,5.787437916,11.7689352,0,0,0,0,1,0,0,0,7,23.65134048,3,73,14,-4.151252747,0,1,1,0,0,0,0,0,1,-2.29524231,-3.44150281,-0.683980048,0.425342292,5.712496758,7.64304781,3.747741699,2.686999083,0.87470001,0.648999989,2.35,0,0,0,0,5.712496758,0,0,0,0,7.64304781,0,0,0,0,3.747741699,0,0,0,0,2.686999083
ZMB,Zambia,6.501289845,6.702909504,6.724752353,6.738261506,6.774514625,6.810686621,6.847418005,6.888924563,6.933814375,6.972968699,7.025617465,7.088663184,7.109045012,7.149258304,7.165880394,7.179318971,7.176185454,7.181782468,7.185089833,7.194023285,7.178257284,7.120673371,7.152748012,7.176332387,7.047915275,3.614361286,10.89300442,0,1,0,0,0,0,0,0,20,27.81662941,0,71,4,-4.60517025,0,0.300000012,0,1,0,1,0,0,0,-3.235007763,-9.2103405,-6.907755375,-1.048586249,9.02716732,2.388913631,4.848525524,3.253377438,0.780799985,0.742999971,0.753,0,9.02716732,0,0,0,0,2.388913631,0,0,0,0,4.848525524,0,0,0,0,3.253377438,0,0,0
ZWE,Zimbabwe,7.154615402,7.424472788,7.432339671,7.333027222,7.139177378,7.072328792,7.008283746,6.964443277,6.917534769,6.715130872,6.818371535,7.000184475,7.122255015,7.250250176,7.260084491,7.252906892,7.251578413,7.239729565,7.25928555,7.287964306,7.202653442,7.100948407,7.161776426,7.204720937,7.149999102,1.02355206,7.925017834,0,1,0,0,0,0,0,0,19,29.87154007,0,57,0,-4.60517025,0,0,0,1,0,1,0,0,0,0.692848086,-9.2103405,-5.543311119,-0.281088859,9.02716732,2.388913631,5.453967094,3.69553709,0.387400001,0.964999974,0.391,0,9.02716732,0,0,0,0,2.388913631,0,0,0,0,5.453967094,0,0,0,0,3.69553709,0,0,0
