isocode,country,ln_maddison_pcgdp2000,gdp00,gpd01,gdp02,gdp03,gdp04,gdp05,gdp06,gdp07,gdp08,gdp09,gdp10,gdp11,gdp12,gdp13,gdp14,gdp15,gdp16,gdp17,gdp18,gdp19,gdp20,gdp21,gdp22,average_gdp_01_22,ln_export_area,ln_export_pop,colony0,colony1,colony2,colony3,colony4,colony5,colony6,colony7,abs_latitude,longitude,rain_min,humid_max,low_temp,ln_coastline_area,island_dum,islam,legor_fr,legor_uk,region_n,region_s,region_w,region_e,region_c,ln_avg_gold_pop,ln_avg_oil_pop,ln_avg_all_diamonds_pop,ln_pop_dens_1400,atlantic_distance_minimum,indian_distance_minimum,saharan_distance_minimum,red_sea_distance_minimum,ethnic_fractionalization,state_dev,land_area,atlantic_distance_minimum_region_n_interaction,atlantic_distance_minimum_region_s_interaction,atlantic_distance_minimum_region_w_interaction,atlantic_distance_minimum_region_e_interaction,atlantic_distance_minimum_region_c_interaction,indian_distance_minimum_region_n_interaction,indian_distance_minimum_region_s_interaction,indian_distance_minimum_region_w_interaction,indian_distance_minimum_region_e_interaction,indian_distance_minimum_region_c_interaction,saharan_distance_minimum_region_n_interaction,saharan_distance_minimum_region_s_interaction,saharan_distance_minimum_region_w_interaction,saharan_distance_minimum_region_e_interaction,saharan_distance_minimum_region_c_interaction,red_sea_distance_minimum_region_n_interaction,red_sea_distance_minimum_region_s_interaction,red_sea_distance_minimum_region_w_interaction,red_sea_distance_minimum_region_e_interaction,red_sea_distance_minimum_region_c_interaction
CPV,Cape Verde Islands,7.482681751,7.608563719,7.613956462,7.649645075,7.676171293,7.759835449,7.813924907,7.878520074,8.008109186,8.065092604,8.039606915,8.047052622,8.073517403,8.072343144,8.067327718,8.062970093,8.061196257,8.091896434,8.124724745,8.150125232,8.207144811,7.964209065,8.00981018,8.158965398,7.995039379,-2.302585125,3.912023067,0,0,0,1,0,0,0,0,15,-24.04430962,0,73,13,5.478361607,1,0,1,0,0,0,1,0,0,-13.81551075,-9.2103405,-6.907755375,-2.302585125,3.646842241,11.5997839,3.481602192,6.465436935,0.417400002,,0.00403,0,0,3.646842241,0,0,0,0,11.5997839,0,0,0,0,3.481602192,0,0,0,0,6.465436935,0,0
DJI,Djibouti,7.005788803,7.872012355,7.872012355,7.872012355,7.872012355,7.872012355,7.872012355,7.872012355,7.872012355,7.872012355,7.872012355,7.872012355,7.872012355,7.872012355,7.681192424,7.73174544,7.787096468,7.839152932,7.875846243,7.9063084,7.944514456,7.942655805,7.972858047,7.989881237,7.872012355,-1.66171813,4.703023911,0,0,1,0,0,0,0,0,11,42.57751846,0,74,17,2.658350468,0,94,1,0,0,0,0,1,0,-13.81551075,-9.2103405,-6.907755375,-0.169874102,14.40755177,2.682205915,2.350743055,0.064389512,0.796199977,0.133000001,0.022,0,0,0,14.40755177,0,0,0,0,2.682205915,0,0,0,0,2.350743055,0,0,0,0,0.064389512,0
DZA,Algeria,7.934513569,8.051414232,8.067213726,8.108213242,8.164196915,8.192225359,8.235909606,8.23835535,8.25551104,8.262137849,8.260052159,8.276832283,8.286435797,8.300439552,8.308387561,8.325892857,8.342225326,8.353789676,8.347135877,8.340031194,8.331587076,8.261916028,8.278773772,8.293989062,8.267707148,3.257355213,9.961392403,0,0,1,0,0,0,0,0,36,2.636909962,0,66,0,-0.701586068,0,99,1,0,1,0,0,0,0,-13.81551075,0.91353178,-6.907755375,-0.404098988,6.559231758,14.91230965,0.985090494,3.654164791,0.339399993,0.99000001,2.38,6.559231758,0,0,0,0,14.91230965,0,0,0,0,0.985090494,0,0,0,0,3.654164791,0,0,0,0
EGY,Egypt,7.979339123,7.831053602,7.845231372,7.847941197,7.858497874,7.878286843,7.90219989,7.94893201,7.997894395,8.047428743,8.07354394,8.103458962,8.098874376,8.098276319,8.096738515,8.102042664,8.122781503,8.144466755,8.165530776,8.198480087,8.234574484,8.252129182,8.267921979,8.316030542,8.082405421,0.399916857,5.477251053,0,1,0,0,0,0,0,0,28,29.87952995,0,41,1,0.896088064,0,88,1,0,1,0,0,0,0,-13.81551075,-0.36104244,-6.907755375,1.430922985,16.39265823,4.667311668,0.430384696,1.112658381,0.183599994,0.99000001,1,16.39265823,0,0,0,0,4.667311668,0,0,0,0,0.430384696,0,0,0,0,1.112658381,0,0,0,0
ETH,Ethiopia,6.436150551,5.556328033,5.606862353,5.592566336,5.541656667,5.640204649,5.723517632,5.798120299,5.878066067,5.95213274,6.008461595,6.098483941,6.175945972,6.230610789,6.303704165,6.374298173,6.446215918,6.509202092,6.573329176,6.612534892,6.666301326,6.698583097,6.727421295,6.753805979,6.257298135,7.078711033,12.99277973,1,0,0,0,0,0,0,0,12,39.61983109,5,73,0,4.529333115,0,32,1,0,0,0,0,1,0,-3.805913448,-9.2103405,-6.907755375,0.355666935,12.58899021,2.705883741,2.5432477,0.510075808,0.723500013,0.842999995,1.22,0,0,0,12.58899021,0,0,0,0,2.705883741,0,0,0,0,2.5432477,0,0,0,0,0.510075808,0
GAB,Gabon,8.265393257,8.937459646,8.932491781,8.903484547,8.898721574,8.877895708,8.875617772,8.817305317,8.844694615,8.779169879,8.747542567,8.781821224,8.815085395,8.830681687,8.850484699,8.859318299,8.866504741,8.859161338,8.838317437,8.822748141,8.838308556,8.797803609,8.791976543,8.800425293,8.838686134,4.627390385,11.69495583,0,0,1,0,0,0,0,0,0.200000003,11.79747009,3,79,17,1.194600582,0,0.800000012,1,0,0,0,0,0,1,-1.654193044,2.650106668,-2.165952921,-0.660725713,5.53139925,8.366794586,3.702839613,3.528861284,0.768999994,0.011,0.268,0,0,0,0,5.53139925,0,0,0,0,8.366794586,0,0,0,0,3.702839613,0,0,0,0,3.528861284
GHA,Ghana,7.154615402,6.927716917,6.940339945,6.956873027,6.980421814,7.008220907,7.03894706,7.074590015,7.091085342,7.152913124,7.174866066,7.226198121,7.333257846,7.397512124,7.443563037,7.447648689,7.444991834,7.454776127,7.510580473,7.54950833,7.591666817,7.576130384,7.605571086,7.61649444,7.327461509,8.818253517,13.69866657,0,1,0,0,0,0,0,0,7,-1.207360029,15,77,15,0.813252032,0,16,0,1,0,0,1,0,0,0.653250933,-5.899706841,-2.239468813,1.338615298,4.772587776,9.299526215,3.174177885,4.332307816,0.673300028,0.651000023,0.239,0,0,4.772587776,0,0,0,0,9.299526215,0,0,0,0,3.174177885,0,0,0,0,4.332307816,0,0
GIN,Guinea,6.349139214,6.431177216,6.454147423,6.488987213,6.478978437,6.480817607,6.490563251,6.481759927,6.524777685,6.54119464,6.505507105,6.52793538,6.557825143,6.590807015,6.605082191,6.616551561,6.628604167,6.705451904,6.777850754,6.814161531,6.843433408,6.866341415,6.880156954,6.902176745,6.637050629,7.260779858,12.82320309,0,0,1,0,0,0,0,0,10,-10.93922043,3,87,17,0.341107219,0,80,1,0,0,0,1,0,0,-0.897376835,-9.2103405,-3.673854351,0.656605422,3.71998477,10.26924419,3.24541378,5.258810997,0.738900006,0.405999988,0.246,0,0,3.71998477,0,0,0,0,10.26924419,0,0,0,0,3.24541378,0,0,0,0,5.258810997,0,0
GMB,Gambia,6.796823502,6.504236345,6.531879583,6.470337682,6.508263705,6.547463018,6.494240727,6.458458882,6.457602904,6.487233246,6.520626448,6.547018623,6.431247702,6.451390569,6.449201294,6.405284149,6.416194914,6.407401633,6.427266098,6.470703814,6.505238504,6.48551442,6.501996758,6.519680659,6.477918417,7.561687469,12.20487213,0,1,0,0,0,0,0,0,13,-15.38401985,0,78,7,1.957223892,0,94,0,1,0,0,1,0,0,-13.81551075,-9.2103405,-6.907755375,1.575844407,3.888797045,10.79257011,3.171976089,5.637867928,0.78640002,0.425999999,0.0113,0,0,3.888797045,0,0,0,0,10.79257011,0,0,0,0,3.171976089,0,0,0,0,5.637867928,0,0
GNB,Guinea-Bissau,6.523562431,6.334387913,6.33471484,6.3025582,6.285180288,6.288866459,6.30665362,6.304873164,6.311510639,6.317279288,6.324703141,6.343911411,6.395337057,6.3512647,6.356419916,6.339539883,6.37324643,6.408802785,6.441930008,6.430962303,6.451616283,6.404559057,6.419828973,6.432702486,6.361697173,8.518584251,13.78165531,0,0,0,1,0,0,0,0,12,-14.96533012,0,74,13,2.026835203,0,34,1,0,0,0,1,0,0,-13.81551075,-9.2103405,-6.907755375,0.95595777,3.795674324,10.63110828,3.284617424,5.633391857,0.808200002,0.214000002,0.0361,0,0,3.795674324,0,0,0,0,10.63110828,0,0,0,0,3.284617424,0,0,0,0,5.633391857,0,0
